Name,Idx,Lvl,Speed,AC,Attacks,Dam,Body,Str,Int,Wis,Dex,Con,Chr,Life,Disarm,Device,Save,Stealth,Search,Perception,Melee,Bows
"Mangy looking leper",13,0,0,0,0,0,Standard,-3,-13,-3,-3,-8,-8,40,="12+5",="16+7",="26+9",3,12,9,="38+13",="15+11"
"Agent of black market",14,0,0,0,0,0,Standard,0,1,-1,3,0,0,71,="45+15",="37+12",="36+10",5,32,34,="60+21",="60+14"
"Singing, happy drunk",15,0,0,0,0,0,Standard,-1,-1,-1,-1,-1,-3,61,="15+5",="18+7",="28+9",1,12,12,="48+13",="20+11"
"Aimless looking merchant",16,0,0,0,0,0,Standard,-1,-1,-1,-1,-1,-3,61,="15+5",="18+7",="28+9",1,12,12,="48+13",="20+11"
"Mean looking mercenary",17,0,0,0,0,0,Standard,2,-2,-2,2,1,0,86,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"Battle scarred veteran",18,0,0,0,0,0,Standard,3,-2,-2,2,1,0,86,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"Lion Heart",19,0,1,0,0,0,Standard,-1,-1,-1,-1,-1,-3,71,="15+5",="18+7",="28+9",1,12,12,="48+13",="20+11"
"Grey mold",20,1,0,1,0,0,Mold,-3,-3,-3,-3,-3,-8,40,="12+5",="16+7",="26+9",3,12,9,="38+13",="15+11"
"Large white snake",21,1,-10,0,0,0,Snake,0,-1,-3,1,-1,-4,46,="42+15",="35+12",="34+10",7,32,31,="50+21",="55+14"
"Blinking dot",22,1,0,1,0,0,Mold,-3,-3,-3,-3,-3,-8,40,="12+5",="16+7",="26+9",3,12,9,="38+13",="15+11"
"Newt",23,1,0,0,0,0,Scrawny,-3,-3,-3,-3,-3,-8,40,="12+5",="16+7",="26+9",3,12,9,="38+13",="15+11"
"Giant white centipede",24,1,0,10,0,0,Centipede2,-3,0,-3,0,-3,-7,52,="17+5",="21+7",="34+9",4,17,17,="43+13",="17+11"
"White icky thing",25,1,0,0,0,0,Icky,2,-4,-4,0,0,-4,48,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"Clear icky thing",26,2,0,0,0,0,Icky,2,-4,-4,0,0,-4,48,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"Giant white mouse",27,1,0,0,0,0,Scrawny,2,-4,-4,0,0,-4,48,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"Large brown snake",28,1,-10,0,0,0,Snake,0,-1,-3,1,-1,-4,51,="42+15",="35+12",="34+10",7,32,31,="50+21",="55+14"
"Small kobold",29,1,0,0,0,0,Standard,0,-2,-1,0,-1,-5,65,="13+5",="16+7",="27+9",0,13,10,="58+13",="23+11"
"Kobold",30,3,0,0,0,0,Standard,3,-3,-2,2,1,-1,78,="23+12",="16+7",="30+10",0,15,10,="80+30",="58+30"
"White worm mass",31,1,-10,1,0,0,Worm,2,-4,-4,0,0,-4,48,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"Floating eye",32,1,0,0,0,0,Eye,-4,3,0,1,-2,-2,95,="30+7",="40+15",="38+11",3,16,30,="34+6",="20+7"
"Rock lizard",33,1,0,0,0,0,Scrawny,-3,-3,-3,-3,-3,-8,40,="12+5",="16+7",="26+9",3,12,9,="38+13",="15+11"
"Grid bug",34,1,0,2,0,0,Scrawny,-3,-3,-3,-3,-3,-8,40,="12+5",="16+7",="26+9",3,12,9,="38+13",="15+11"
"Jackal",35,1,0,0,0,0,Scrawny,2,-4,-4,0,0,-4,48,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"Soldier ant",36,1,0,0,0,0,Ant,2,-4,-4,0,0,-4,58,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"Fruit bat",37,1,10,3,0,0,Bat,0,0,-3,3,-1,-4,55,="27+12",="27+10",="34+10",8,37,33,="30+12",="69+28"
"Insect swarm",38,1,10,4,0,0,Scrawny,-3,-3,-3,-3,-3,-8,40,="12+5",="16+7",="26+9",3,12,9,="38+13",="15+11"
"Greater Hell-Beast",39,1,5,100,0,0,Greater Hell-Beast,-3,-3,-3,-3,-3,-8,120,="12+5",="16+7",="26+9",3,12,9,="38+13",="15+11"
"Shrieker mushroom patch",40,2,0,1,0,0,Mold,-3,-3,-3,-3,-3,-8,40,="12+5",="16+7",="26+9",3,12,9,="38+13",="15+11"
"Blubbering icky thing",41,2,0,0,0,0,Icky,2,-4,-4,0,0,-4,58,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"Metallic green centipede",42,2,10,4,0,0,Centipede3,-3,0,-3,0,-3,-7,69,="17+5",="21+7",="34+9",4,17,17,="43+13",="17+11"
"Novice warrior",43,2,0,0,0,0,Standard,4,-2,-2,2,2,1,97,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"Novice rogue",44,2,0,0,0,0,Standard,2,1,-1,3,1,1,93,="45+15",="37+12",="36+10",5,32,34,="60+21",="60+14"
"Novice archaeologist",45,3,0,0,0,0,Standard,-1,1,2,1,-1,0,90,="45+15",="40+12",="36+10",4,50,42,="56+18",="35+11"
"Novice mage",46,2,0,0,0,0,Standard,-4,3,0,1,-2,-2,80,="30+7",="40+15",="38+11",3,16,30,="34+6",="20+7"
"Yellow mushroom patch",47,2,0,0,0,0,Standard,0,0,0,0,0,0,0,="0+0",="0+0",="0+0",0,0,0,="0+0",="0+0"
"White jelly",48,2,10,1,0,0,Jelly3,-1,-1,-1,-1,-1,-3,95,="15+5",="18+7",="28+9",1,12,12,="48+13",="20+11"
"Giant black ant",49,2,0,0,0,0,Ant,2,-4,-4,0,0,-4,63,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"Salamander",50,2,0,0,0,0,Scrawny,-3,0,-3,0,-3,-7,43,="17+5",="21+7",="34+9",4,17,17,="43+13",="17+11"
"White harpy",51,2,0,17,0,0,Harpy,-3,0,0,2,1,-2,43,="30+5",="26+7",="38+9",6,24,17,="38+13",="30+11"
"Blue yeek",52,2,0,0,0,0,Standard,-3,0,-3,0,-3,-7,87,="17+5",="21+7",="34+9",4,17,17,="43+13",="17+11"
"Grip, Farmer Maggot's dog",53,2,10,30,0,0,Puppy,2,-1,-1,5,4,2,73,="40+12",="26+7",="41+10",6,26,17,="60+30",="65+30"
"Wolf, Farmer Maggot's dog",54,2,10,30,0,0,Puppy,2,-1,-1,5,4,2,73,="40+12",="26+7",="41+10",6,26,17,="60+30",="65+30"
"Fang, Farmer Maggot's dog",55,2,10,30,0,0,Puppy,2,-1,-1,5,4,2,73,="40+12",="26+7",="41+10",6,26,17,="60+30",="65+30"
"Giant green frog",56,2,0,0,0,0,Puppy,-3,-3,-3,-3,-3,-8,64,="12+5",="16+7",="26+9",3,12,9,="38+13",="15+11"
"Freesia",57,2,10,30,0,0,Hound,2,1,-1,3,1,1,110,="45+15",="30+8",="36+10",5,32,34,="60+21",="60+14"
"Green worm mass",58,2,-10,3,0,0,Worm,2,-4,-4,0,0,-4,48,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"Large yellow snake",59,2,-10,0,0,0,Snake,0,-1,-3,1,-1,-4,51,="42+15",="35+12",="34+10",7,32,31,="50+21",="55+14"
"Cave spider",60,2,10,16,0,0,Spider,0,2,-3,4,-1,-3,101,="47+15",="40+12",="42+10",8,37,39,="55+21",="57+14"
"Crow",61,2,10,0,0,0,Bird,-3,-3,-3,-3,-3,-8,80,="12+5",="16+7",="26+9",3,12,9,="38+13",="15+11"
"Wild cat",62,2,10,0,0,0,Scrawny,2,1,-1,3,1,1,66,="45+15",="37+12",="36+10",5,32,34,="60+21",="60+14"
"Smeagol",63,3,20,0,0,0,Standard,0,2,0,6,3,2,101,="60+15",="45+12",="46+10",10,44,39,="50+21",="70+14"
"Green ooze",64,3,10,16,0,0,Jelly3,2,-1,-4,3,0,-3,105,="27+12",="21+7",="37+10",4,19,17,="65+30",="52+30"
"Poltergeist",65,3,20,0,0,0,Standard,-6,3,1,1,-3,-6,85,="25+5",="28+7",="40+9",6,17,16,="33+13",="15+11"
"Yellow jelly",66,3,10,1,0,0,Jelly3,-1,-1,-1,-1,-1,-3,95,="15+5",="18+7",="28+9",1,12,12,="48+13",="20+11"
"Metallic blue centipede",67,3,10,6,0,0,Centipede3,-3,0,-3,0,-3,-7,69,="17+5",="21+7",="34+9",4,17,17,="43+13",="17+11"
"Raven",68,3,10,0,0,0,Bird,-3,-3,-3,-3,-3,-8,80,="12+5",="16+7",="26+9",3,12,9,="38+13",="15+11"
"Giant white louse",69,3,10,5,0,0,Scrawny,-3,-3,-3,-3,-3,-8,40,="12+5",="16+7",="26+9",3,12,9,="38+13",="15+11"
"Piranha",70,3,10,8,0,0,Fish,2,-4,-4,0,0,-4,97,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"Black naga",71,3,0,0,0,0,Naga,2,-1,-4,3,0,-3,105,="27+12",="21+7",="37+10",4,19,17,="65+30",="52+30"
"Spotted mushroom patch",72,3,0,0,0,0,Standard,0,0,0,0,0,0,0,="0+0",="0+0",="0+0",0,0,0,="0+0",="0+0"
"Silver jelly",73,3,10,1,0,0,Jelly3,-1,-2,-2,0,1,-4,94,="12+5",="19+7",="27+9",2,11,12,="53+13",="17+11"
"Scruffy looking hobbit",74,3,0,0,0,0,Standard,-3,0,0,2,1,-2,87,="30+5",="26+7",="38+9",6,24,17,="38+13",="30+11"
"Giant white ant",75,3,0,0,0,0,Ant,2,-4,-4,0,0,-4,67,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"Yellow mold",76,3,0,10,0,0,Mold,-3,0,-3,0,-3,-7,43,="17+5",="21+7",="34+9",4,17,17,="43+13",="17+11"
"Metallic red centipede",77,3,10,9,0,0,Centipede3,-3,0,-3,0,-3,-7,78,="17+5",="21+7",="34+9",4,17,17,="43+13",="17+11"
"Yellow worm mass",78,3,-10,4,0,0,Worm,2,-4,-4,0,0,-4,48,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"Clear worm mass",79,3,-10,1,0,0,Worm,2,-4,-4,0,0,-4,48,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"Radiation eye",80,3,0,0,0,0,Eye,-4,3,0,1,-2,-2,95,="30+7",="40+15",="38+11",3,16,30,="34+6",="20+7"
"Yellow light",81,4,10,12,0,0,Wisp,2,-4,-4,0,0,-4,97,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"Cave lizard",82,4,0,0,0,0,Scrawny,-3,-3,-3,-3,-3,-8,56,="12+5",="16+7",="26+9",3,12,9,="38+13",="15+11"
"Novice ranger",83,4,0,0,0,0,Standard,2,0,2,1,1,0,90,="30+8",="37+11",="36+10",3,24,26,="56+18",="50+16"
"Blue jelly",84,4,0,1,0,0,Jelly3,-1,-2,-2,0,1,-4,94,="12+5",="19+7",="27+9",2,11,12,="53+13",="17+11"
"Creeping copper coins",85,4,-10,0,0,0,Standard,0,0,0,0,0,0,0,="0+0",="0+0",="0+0",0,0,0,="0+0",="0+0"
"Giant white rat",86,4,0,0,0,0,Scrawny,2,-4,-4,0,0,-4,58,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"Goblin",87,5,0,0,0,0,Standard,-3,-3,-3,-3,-3,-8,80,="12+5",="16+7",="26+9",3,12,9,="38+13",="15+11"
"Swordfish",88,4,10,10,0,0,Fish,2,-4,-4,0,0,-4,97,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"Blue worm mass",89,4,-10,12,0,0,Worm,2,-4,-4,0,0,-4,48,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"Large grey snake",90,4,-10,0,0,0,Snake,0,-1,-3,1,-1,-4,55,="42+15",="35+12",="34+10",7,32,31,="50+21",="55+14"
"Skeleton kobold",91,5,0,0,0,0,Standard,5,-3,-2,3,2,-1,112,="23+12",="16+7",="30+10",0,15,10,="80+30",="58+30"
"Ewok",92,5,0,0,0,0,Standard,-3,0,0,2,1,-2,87,="30+5",="26+7",="38+9",6,24,17,="38+13",="30+11"
"Novice mage",93,3,0,0,0,0,Standard,-4,3,0,1,-2,-2,80,="30+7",="40+15",="38+11",3,16,30,="34+6",="20+7"
"Green naga",94,5,0,0,0,0,Naga,2,-1,-4,3,0,-3,105,="27+12",="21+7",="37+10",4,19,17,="65+30",="52+30"
"Giant leech",95,5,10,20,0,0,Scrawny,2,-4,-4,0,0,-4,58,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"Barracuda",96,5,10,45,0,0,Fish,4,-2,-2,2,2,1,115,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"Novice paladin",97,4,0,0,0,0,Standard,3,-3,1,0,2,2,94,="20+7",="24+10",="34+11",1,12,12,="68+21",="40+18"
"Zog",98,5,0,0,0,0,Standard,4,-3,-3,3,4,0,113,="22+12",="19+7",="30+10",2,13,12,="75+30",="52+30"
"Blue ooze",99,5,0,16,0,0,Jelly3,-3,0,-3,0,-3,-7,87,="17+5",="21+7",="34+9",4,17,17,="43+13",="17+11"
"Green glutton ghost",100,5,20,0,0,0,Standard,-6,3,1,1,-3,-6,85,="25+5",="28+7",="40+9",6,17,16,="33+13",="15+11"
"Green jelly",101,5,10,1,0,0,Jelly3,-1,-2,-2,0,1,-4,94,="12+5",="19+7",="27+9",2,11,12,="53+13",="17+11"
"Large kobold",102,5,0,0,0,0,Standard,5,-3,-2,3,2,-1,106,="23+12",="16+7",="30+10",0,15,10,="80+30",="58+30"
"Grey icky thing",103,5,0,0,0,0,Icky,2,-4,-4,0,0,-4,48,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"Disenchanter eye",104,5,-10,0,0,0,Eye,-4,3,0,1,-2,-2,95,="30+7",="40+15",="38+11",3,16,30,="34+6",="20+7"
"Red worm mass",105,5,-10,12,0,0,Worm,2,-4,-4,0,0,-4,58,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"Copperhead snake",106,5,0,0,0,0,Snake,2,1,-1,3,1,1,66,="45+15",="37+12",="36+10",5,32,34,="60+21",="60+14"
"Death sword",107,8,20,0,0,0,Death-Sword,0,0,0,0,0,0,0,="0+0",="0+0",="0+0",0,0,0,="0+0",="0+0"
"Purple mushroom patch",108,6,0,0,0,0,Standard,0,0,0,0,0,0,0,="0+0",="0+0",="0+0",0,0,0,="0+0",="0+0"
"Novice priest",109,4,0,0,0,0,Standard,-1,-3,3,-1,0,2,85,="25+7",="35+11",="40+12",2,16,18,="48+13",="35+11"
"Novice warrior",110,4,0,0,0,0,Standard,4,-2,-2,2,2,1,97,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"Nibelung",111,6,0,0,0,0,Standard,3,0,1,3,3,-1,113,="48+15",="40+12",="42+10",6,37,34,="69+21",="60+14"
"Disembodied hand that strangled people",112,6,20,0,0,0,Disembodied Hand,5,-1,-2,4,3,3,113,="43+15",="30+12",="38+10",4,33,31,="72+21",="66+14"
"Brown mold",113,6,0,12,0,0,Mold,-1,-1,-1,-1,-1,-3,66,="15+5",="18+7",="28+9",1,12,12,="48+13",="20+11"
"Giant brown bat",114,6,20,15,0,0,Bat,2,-1,-1,2,1,0,60,="25+12",="24+10",="28+10",5,32,28,="35+12",="72+28"
"Rat-thing",115,6,10,20,0,0,Scrawny,0,2,-3,4,-1,-3,101,="47+15",="40+12",="42+10",8,37,39,="55+21",="57+14"
"Novice archer",116,6,10,0,0,0,Standard,2,-1,-1,2,1,0,94,="38+12",="24+10",="35+10",4,24,26,="56+18",="82+36"
"Creeping silver coins",117,6,-10,0,0,0,Standard,0,0,0,0,0,0,0,="0+0",="0+0",="0+0",0,0,0,="0+0",="0+0"
"Snaga",118,6,0,0,0,0,Standard,2,-4,-4,0,0,-4,97,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"Rattlesnake",119,6,0,0,0,0,Snake,2,1,-1,3,1,1,66,="45+15",="37+12",="36+10",5,32,34,="60+21",="60+14"
"Giant slug",120,6,-10,25,0,0,Scrawny,-1,-1,-1,-1,-1,-3,95,="15+5",="18+7",="28+9",1,12,12,="48+13",="20+11"
"Giant pink frog",121,7,0,0,0,0,Scrawny,-3,-3,-3,-3,-3,-8,40,="12+5",="16+7",="26+9",3,12,9,="38+13",="15+11"
"Dark elf",122,7,0,0,0,0,Standard,-5,6,2,3,-4,1,92,="35+7",="47+15",="50+11",6,24,32,="29+6",="26+7"
"Zombified kobold",123,7,0,0,0,0,Standard,1,-7,-7,0,3,-6,102,="10+5",="13+7",="33+9",0,11,7,="63+13",="20+11"
"Crypt Creep",124,7,0,0,0,0,Standard,-4,4,-2,1,-1,-1,95,="25+7",="40+15",="41+11",2,15,28,="44+6",="20+7"
"Rotting corpse",125,7,0,0,0,0,Standard,1,-7,-7,0,3,-6,102,="10+5",="13+7",="33+9",0,11,7,="63+13",="20+11"
"Cave orc",126,7,0,0,0,0,Standard,4,-2,-2,2,2,1,115,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"Wood spider",127,7,10,16,0,0,Spider,0,2,-3,4,-1,-3,101,="47+15",="40+12",="42+10",8,37,39,="55+21",="57+14"
"Manes",128,7,0,0,0,0,Standard,4,-3,-3,3,4,0,113,="22+12",="19+7",="30+10",2,13,12,="75+30",="52+30"
"Bloodshot eye",129,7,0,0,0,0,Eye,-4,3,0,1,-2,-2,95,="30+7",="40+15",="38+11",3,16,30,="34+6",="20+7"
"Red naga",130,7,0,0,0,0,Naga,2,-1,-4,3,0,-3,105,="27+12",="21+7",="37+10",4,19,17,="65+30",="52+30"
"Red jelly",131,7,0,1,0,0,Jelly3,4,-2,-2,2,2,1,115,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"Green icky thing",132,7,0,0,0,0,Icky,2,-4,-4,0,0,-4,48,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"Lost soul",133,7,0,0,0,0,Standard,-3,5,1,5,-1,-2,99,="55+15",="47+12",="48+10",10,37,38,="45+21",="55+14"
"Night lizard",134,7,0,0,0,0,Scrawny,-3,0,-3,0,-3,-7,60,="17+5",="21+7",="34+9",4,17,17,="43+13",="17+11"
"Mughash the Kobold Lord",135,7,0,0,0,0,Standard,6,-3,-2,4,3,-1,117,="23+12",="16+7",="30+10",0,15,10,="80+30",="58+30"
"Skeleton orc",136,8,0,0,0,0,Standard,5,-3,-2,3,2,-1,112,="23+12",="16+7",="30+10",0,15,10,="80+30",="58+30"
"Wormtongue, Agent of Saruman",137,8,0,0,0,0,Standard,2,1,-1,3,1,1,110,="45+15",="37+12",="36+10",5,32,34,="60+21",="60+14"
"Robin Hood, the Outlaw",138,8,10,0,0,0,Standard,3,4,-2,6,2,2,108,="49+15",="46+12",="48+10",9,35,38,="70+21",="75+14"
"Nurgling",139,8,0,0,0,0,Standard,4,-3,-3,3,4,0,113,="22+12",="19+7",="30+10",2,13,12,="75+30",="52+30"
"Lagduf, the Snaga",140,8,0,0,0,0,Standard,5,-3,-2,3,2,-1,112,="23+12",="16+7",="30+10",0,15,10,="80+30",="58+30"
"Brown yeek",141,8,0,0,0,0,Standard,-3,0,-3,0,-3,-7,87,="17+5",="21+7",="34+9",4,17,17,="43+13",="17+11"
"Novice ranger",142,6,0,0,0,0,Standard,2,0,2,1,1,0,90,="30+8",="37+11",="36+10",3,24,26,="56+18",="50+16"
"Giant salamander",143,8,0,0,0,0,Scrawny,-1,-1,-1,-1,-1,-3,66,="15+5",="18+7",="28+9",1,12,12,="48+13",="20+11"
"Space monster",144,8,0,0,0,0,Standard,0,0,0,0,0,0,0,="0+0",="0+0",="0+0",0,0,0,="0+0",="0+0"
"Carnivorous flying monkey",145,8,0,20,0,0,Standard,4,-2,-2,2,2,1,115,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"Green mold",146,8,0,14,0,0,Mold,-1,-1,-1,-1,-1,-3,85,="15+5",="18+7",="28+9",1,12,12,="48+13",="20+11"
"Novice paladin",147,6,0,0,0,0,Standard,3,-3,1,0,2,2,94,="20+7",="24+10",="34+11",1,12,12,="68+21",="40+18"
"Lemure",148,8,0,0,0,0,Standard,4,-3,-3,3,4,0,113,="22+12",="19+7",="30+10",2,13,12,="75+30",="52+30"
"Hill orc",149,8,0,0,0,0,Standard,4,-2,-2,2,2,1,115,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"Bandit",150,8,0,0,0,0,Standard,2,1,-1,3,1,1,99,="45+15",="37+12",="36+10",5,32,34,="60+21",="60+14"
"Hunting hawk of Julian",151,8,10,25,0,0,Bird,2,-4,-4,0,0,-4,97,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"Phantom warrior",152,8,0,0,0,0,Standard,7,-4,-3,3,4,3,118,="23+12",="11+7",="33+10",0,15,9,="82+30",="61+30"
"Gremlin",153,8,0,0,0,0,Standard,0,2,-3,4,-1,-3,101,="47+15",="40+12",="42+10",8,37,39,="55+21",="57+14"
"Yeti",154,9,0,24,0,0,Standard,5,-2,-2,-1,3,2,111,="25+12",="25+9",="35+12",0,14,12,="70+30",="20+7"
"Bloodshot icky thing",155,9,0,0,0,0,Icky,0,0,-2,-1,-2,-4,45,="27+7",="35+11",="34+10",4,18,23,="46+18",="45+15"
"Giant grey rat",156,9,0,0,0,0,Scrawny,2,-4,-4,0,0,-4,77,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"Black harpy",157,9,10,22,0,0,Harpy,-3,0,0,2,1,-2,43,="30+5",="26+7",="38+9",6,24,17,="38+13",="30+11"
"Skaven",158,9,0,25,0,0,Scrawny,-1,-1,-1,-1,-1,-3,95,="15+5",="18+7",="28+9",1,12,12,="48+13",="20+11"
"The Wounded Bear",159,9,0,35,0,0,Bear,3,-4,-4,-3,1,-3,94,="22+12",="23+9",="33+12",2,14,9,="60+30",="15+7"
"Portuguese man-o-war",160,9,0,30,0,0,Jelly3,4,-2,-2,2,2,1,115,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"Rock mole",161,9,0,30,0,0,Scrawny,2,-4,-4,0,0,-4,97,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"Orc shaman",162,9,0,0,0,0,Standard,-1,-3,3,-1,0,2,100,="25+7",="35+11",="40+12",2,16,18,="48+13",="35+11"
"Baby blue dragon",163,9,0,30,0,0,Dragon,1,-1,-1,1,0,2,103,="20+7",="25+10",="32+10",2,18,26,="52+14",="63+25"
"Baby white dragon",164,9,0,30,0,0,Dragon,1,-1,-1,1,0,2,103,="20+7",="25+10",="32+10",2,18,26,="52+14",="63+25"
"Baby green dragon",165,9,0,30,0,0,Dragon,1,-1,-1,1,0,2,103,="20+7",="25+10",="32+10",2,18,26,="52+14",="63+25"
"Baby black dragon",166,9,0,30,0,0,Dragon,1,-1,-1,1,0,2,103,="20+7",="25+10",="32+10",2,18,26,="52+14",="63+25"
"Baby red dragon",167,9,0,30,0,0,Dragon,1,-1,-1,1,0,2,103,="20+7",="25+10",="32+10",2,18,26,="52+14",="63+25"
"Giant red ant",168,9,0,0,0,0,Ant,2,-4,-4,0,0,-4,72,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"Brodda, the Easterling",169,9,0,0,0,0,Standard,7,-2,-3,1,5,1,121,="22+12",="15+7",="28+10",-1,13,7,="90+30",="50+30"
"Bloodfang the Wolf",170,9,10,30,0,0,Puppy,4,-2,-2,2,2,1,92,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"King cobra",171,9,0,0,0,0,Snake,2,1,-1,3,1,1,66,="45+15",="37+12",="36+10",5,32,34,="60+21",="60+14"
"Eagle",172,9,10,25,0,0,Bird,4,-2,-2,2,2,1,115,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"War bear",173,9,0,35,0,0,Bear,3,-1,-4,0,1,-2,102,="27+12",="28+9",="41+12",3,19,17,="65+30",="17+7"
"Killer bee",174,9,10,34,0,0,Scrawny,2,-4,-4,0,0,-4,97,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"Giant spider",175,10,0,16,0,0,Spider,2,1,-1,3,1,1,110,="45+15",="37+12",="36+10",5,32,34,="60+21",="60+14"
"Giant white tick",176,10,-10,40,0,0,Spider,2,1,-1,3,1,1,110,="45+15",="37+12",="36+10",5,32,34,="60+21",="60+14"
"The Borshin",177,10,0,0,0,0,Standard,6,-4,-3,1,4,2,117,="20+12",="17+7",="30+10",0,13,7,="82+30",="58+30"
"Dark elven mage",178,10,10,0,0,0,Standard,-5,6,2,3,-4,1,92,="35+7",="47+15",="50+11",6,24,32,="29+6",="26+7"
"Kamikaze yeek",179,10,3,0,0,0,Standard,2,-1,-4,3,0,-3,105,="27+12",="21+7",="37+10",4,19,17,="65+30",="52+30"
"Orfax, Son of Boldor",180,10,10,0,0,0,Standard,-6,4,-2,2,-4,-6,87,="32+7",="43+15",="44+11",6,21,35,="29+6",="17+7"
"Servant of Glaaki",181,10,0,0,0,0,Standard,1,-9,-3,0,4,-1,108,="20+7",="30+11",="45+12",1,15,13,="63+13",="35+11"
"Dark elven warrior",182,10,0,0,0,0,Standard,1,5,2,3,-2,4,102,="35+7",="44+11",="48+10",5,26,28,="51+18",="56+15"
"Sand-dweller",183,10,0,0,0,0,Standard,6,-4,-3,1,4,2,117,="20+12",="17+7",="30+10",0,13,7,="82+30",="58+30"
"Clear mushroom patch",184,10,5,0,0,0,Standard,0,0,0,0,0,0,0,="0+0",="0+0",="0+0",0,0,0,="0+0",="0+0"
"Quiver slot",185,10,10,0,0,0,Standard,0,0,0,0,0,0,0,="0+0",="0+0",="0+0",0,0,0,="0+0",="0+0"
