Class,Realm,Index,Name,Level,Cost,Fail
"Mage","Sorcery",24,"Dimension Door",40,40,80
"Mage","Sorcery",25,"Probing",10,10,40
"Mage","Sorcery",26,"Door Creation",20,20,80
"Mage","Sorcery",27,"Telekinesis",25,25,75
"Mage","Sorcery",28,"Clairvoyance",30,40,80
"Mage","Sorcery",29,"Device Mastery",40,65,90
"Mage","Sorcery",30,"Alchemy",42,50,90
"Mage","Sorcery",31,"Banishment",43,40,55
"Mage","Sorcery",32,"Globe of Invulnerability",45,70,85
"Mage","Nature",1,"Detect Creatures",1,1,23
"Mage","Nature",2,"Lightning",3,3,25
"Mage","Nature",3,"Detect Doors and Traps",3,3,25
"Mage","Nature",4,"Produce Food",4,4,35
"Mage","Nature",5,"Daylight",4,4,50
"Mage","Nature",6,"Wind Walker",4,5,50
"Mage","Nature",7,"Resist Environment",5,5,50
"Mage","Nature",8,"Cure Wounds & Poison",5,5,35
"Mage","Nature",9,"Stone to Mud",5,5,40
"Mage","Nature",10,"Frost Bolt",5,5,30
"Mage","Nature",11,"Nature Awareness",7,6,45
"Mage","Nature",12,"Fire Bolt",7,6,40
"Mage","Nature",13,"Ray of Sunlight",9,6,30
"Mage","Nature",14,"Entangle",19,12,55
"Mage","Nature",15,"Nature's Gate",25,25,90
"Mage","Nature",16,"Herbal Healing",40,60,90
"Mage","Nature",17,"Stair Building",9,12,40
"Mage","Nature",18,"Stone Skin",10,12,75
"Mage","Nature",19,"Resistance True",15,20,85
"Mage","Nature",20,"Forest Creation",20,22,80
"Mage","Nature",21,"Stone Tell",37,40,90
"Mage","Nature",22,"Wall of Stone",38,45,75
"Mage","Nature",23,"Protect from Corrosion",40,90,90
"Mage","Nature",24,"Call Sunlight",42,35,90
"Mage","Nature",25,"Earthquake",20,18,60
"Mage","Nature",26,"Fire Storm",23,23,80
"Mage","Nature",27,"Blizzard",25,25,75
"Mage","Nature",28,"Lightning Storm",30,27,75
"Mage","Nature",29,"Whirlpool",35,30,85
"Mage","Nature",30,"Ice Bolt",37,40,75
"Mage","Nature",31,"Gravity Storm",39,40,75
"Mage","Nature",32,"Nature's Wrath",40,75,65
"Mage","Chaos",1,"Magic Missile",1,1,20
"Mage","Chaos",2,"Trap / Door Destruction",1,2,22
"Mage","Chaos",3,"Flash of Light",2,2,25
"Mage","Chaos",4,"Touch of Confusion",5,5,30
"Mage","Chaos",5,"Mana Burst",9,6,50
"Mage","Chaos",6,"Fire Bolt",13,9,45
"Mage","Chaos",7,"Fist of Force",14,9,45
"Mage","Chaos",8,"Teleport Self",15,9,35
"Mage","Chaos",9,"Wonder",17,10,25
"Mage","Chaos",10,"Chaos Bolt",19,12,45
"Mage","Chaos",11,"Sonic Boom",21,13,45
"Mage","Chaos",12,"Doom Bolt",23,15,50
"Mage","Chaos",13,"Fire Ball",25,16,50
"Mage","Chaos",14,"Teleport Other",25,18,60
"Mage","Chaos",15,"Word of Destruction",30,20,80
"Mage","Chaos",16,"Invoke Logrus",33,40,85
"Mage","Chaos",17,"Polymorph Other",11,7,45
"Mage","Chaos",18,"Chain Lightning",15,15,80
"Mage","Chaos",19,"Arcane Binding",16,14,80
"Mage","Chaos",20,"Disintegrate",25,25,85
"Mage","Chaos",21,"Alter Reality",30,25,85
"Mage","Chaos",22,"Magic Rocket",35,41,80
"Mage","Chaos",23,"Chaos Branding",45,90,80
"Mage","Chaos",24,"Summon Demon",47,100,90
"Mage","Chaos",25,"Beam of Gravity",20,20,66
"Mage","Chaos",26,"Meteor Swarm",35,32,85
"Mage","Chaos",27,"Flame Strike",37,34,75
"Mage","Chaos",28,"Call Chaos",39,42,85
"Mage","Chaos",29,"Polymorph Self",42,50,85
"Mage","Chaos",30,"Mana Storm",45,58,85
"Mage","Chaos",31,"Breathe Logrus",47,75,80
"Mage","Chaos",32,"Call the Void",49,100,85
"Mage","Death",1,"Detect Unlife",1,1,25
"Mage","Death",2,"Malediction",2,2,25
"Mage","Death",3,"Detect Evil",2,2,25
"Mage","Death",4,"Stinking Cloud",3,3,27
"Mage","Death",5,"Black Sleep",5,5,30
"Mage","Death",6,"Undead Resistance",7,10,75
"Mage","Death",7,"Horrify",9,9,30
"Mage","Death",8,"Enslave Undead",10,10,30
"Mage","Death",9,"Orb of Entropy",12,12,40
"Mage","Death",10,"Nether Bolt",13,12,30
"Mage","Death",11,"Cloud kill",18,15,50
"Mage","Death",12,"Genocide One",24,21,60
"Mage","Death",13,"Poison Branding",30,75,80
"Mage","Death",14,"Vampiric Drain",32,30,60
"Mage","Death",15,"Animate dead",36,35,80
"Mage","Death",16,"Genocide",39,30,95
"Mage","Death",17,"Berserk",10,20,80
"Mage","Death",18,"Invoke Spirits",10,15,80
"Mage","Death",19,"Dark Bolt",11,11,30
"Mage","Death",20,"Battle Frenzy",30,25,75
"Mage","Death",21,"Vampiric Branding",34,90,70
"Mage","Death",22,"Vampirism True",36,35,60
"Mage","Death",23,"Nether Wave",38,35,70
"Mage","Death",24,"Darkness Storm",40,40,70
"Mage","Death",25,"Death Ray",20,20,75
"Mage","Death",26,"Raise the Dead",25,66,95
"Mage","Death",27,"Esoteria",30,40,95
"Mage","Death",28,"Polymorph Vampire",35,40,80
"Mage","Death",29,"Restore Life",42,50,75
"Mage","Death",30,"Mass Genocide",43,75,80
"Mage","Death",31,"Nether Storm",45,58,85
"Mage","Death",32,"Wraithform",47,100,90
"Mage","Trump",1,"Phase Door",1,1,25
"Mage","Trump",2,"Trump Spiders",3,3,25
"Mage","Trump",3,"Shuffle",5,5,37
"Mage","Trump",4,"Reset Recall",6,6,40
"Mage","Trump",5,"Teleport",7,7,20
"Mage","Trump",6,"Trump Spying",11,12,30
"Mage","Trump",7,"Teleport Away",14,15,30
"Mage","Trump",8,"Trump Animals",18,20,30
"Mage","Trump",9,"Trump Reach",20,20,40
"Mage","Trump",10,"Trump Kamikaze",23,20,35
"Mage","Trump",11,"Phantasmal Servant",25,24,30
"Mage","Trump",12,"Haste Monster",30,28,40
"Mage","Trump",13,"Teleport Level",33,30,35
"Mage","Trump",14,"Dimension Door",35,33,45
"Mage","Trump",15,"Word of Recall",40,35,40
"Mage","Trump",16,"Banish",42,40,35
"Mage","Trump",17,"Swap Position",22,35,70
"Mage","Trump",18,"Trump Undead",24,24,35
"Mage","Trump",19,"Trump Reptiles",26,26,35
"Mage","Trump",20,"Trump Monsters",30,25,35
"Mage","Trump",21,"Trump Hounds",30,30,35
"Mage","Trump",22,"Trump Branding",35,70,40
"Mage","Trump",23,"Living Trump",40,100,45
"Mage","Trump",24,"Trump Cyberdemon",45,100,45
"Mage","Trump",25,"Trump Divination",30,30,30
"Mage","Trump",26,"Trump Lore",35,50,45
"Mage","Trump",27,"Heal Monster",36,55,40
"Mage","Trump",28,"Trump Dragon",39,80,40
"Mage","Trump",29,"Trump Meteor",41,45,70
"Mage","Trump",30,"Trump Demon",47,100,40
"Mage","Trump",31,"Trump Greater Undead",48,100,40
"Mage","Trump",32,"Trump Ancient Dragon",49,100,40
"Mage","Arcane",1,"Zap",1,1,20
"Mage","Arcane",2,"Wizard Lock",1,1,33
"Mage","Arcane",3,"Detect Invisibility",1,1,33
"Mage","Arcane",4,"Detect Monsters",2,1,33
"Mage","Arcane",5,"Blink",2,2,33
"Mage","Arcane",6,"Light Area",4,4,40
"Mage","Arcane",7,"Trap & Door Destruction",5,5,33
"Mage","Arcane",8,"Cure Light Wounds",6,5,44
"Mage","Arcane",9,"Detect Doors & Traps",7,6,40
"Mage","Arcane",10,"Phlogiston",8,8,60
"Mage","Arcane",11,"Detect Treasure",9,8,50
"Mage","Arcane",12,"Detect Enchantment",9,9,50
"Mage","Arcane",13,"Detect Objects",9,9,50
"Mage","Arcane",14,"Cure Poison",11,10,50
"Mage","Arcane",15,"Resist Cold",12,12,50
"Mage","Arcane",16,"Resist Fire",13,12,50
"Mage","Arcane",17,"Resist Lightning",14,12,50
"Mage","Arcane",18,"Resist Acid",15,12,50
"Mage","Arcane",19,"Cure Medium Wounds",16,14,33
"Mage","Arcane",20,"Teleport",18,15,50
"Mage","Arcane",21,"Identify",20,20,60
"Mage","Arcane",22,"Stone to Mud",22,16,60
"Mage","Arcane",23,"Ray of Light",25,18,60
"Mage","Arcane",24,"Satisfy Hunger",28,20,70
"Mage","Arcane",25,"See Invisible",28,20,60
"Mage","Arcane",26,"Resist Poison",31,25,70
"Mage","Arcane",27,"Teleport Level",35,35,80
"Mage","Arcane",28,"Teleport Away",40,30,70
"Mage","Arcane",29,"Recharging",41,30,66
"Mage","Arcane",30,"Detection",42,30,80
"Mage","Arcane",31,"Word of Recall",45,50,70
"Mage","Arcane",32,"Clairvoyance",49,100,80
"Mage","Craft",1,"Minor Enchantment",1,1,20
"Mage","Craft",2,"Regeneration",2,2,20
"Mage","Craft",3,"Satisfy Hunger",3,3,30
"Mage","Craft",4,"Resist Cold",5,5,35
"Mage","Craft",5,"Resist Fire",6,5,35
"Mage","Craft",6,"Heroism",8,6,45
"Mage","Craft",7,"Resist Lightning",9,5,35
"Mage","Craft",8,"Resist Acid",10,5,35
"Mage","Craft",9,"See Invisibility",12,12,45
"Mage","Craft",10,"Remove Curse",15,14,40
"Mage","Craft",11,"Resist Poison",17,15,60
"Mage","Craft",12,"Berserk",20,17,55
"Mage","Craft",13,"Self Knowledge",23,18,85
"Mage","Craft",14,"Identify",26,22,50
"Mage","Craft",15,"Curing",29,30,60
"Mage","Craft",16,"Elemental Branding",38,65,95
"Mage","Craft",17,"Telepathy",12,12,45
"Mage","Craft",18,"Stone Skin",14,10,75
"Mage","Craft",19,"Resistance",20,20,85
"Mage","Craft",20,"Haste Self",24,12,60
"Mage","Craft",21,"Whirlwind Attack",30,30,60
"Mage","Craft",22,"Polish Shield",34,50,70
"Mage","Craft",23,"Weaponmastery",41,60,70
"Mage","Craft",24,"Magical Armor",45,55,70
"Mage","Craft",25,"Remove All Curse",14,14,65
"Mage","Craft",26,"Walk through Wall",30,55,80
"Mage","Craft",27,"Knowledge True",36,45,90
"Mage","Craft",28,"Enchantment",38,80,95
"Mage","Craft",29,"Crafting",38,100,95
"Mage","Craft",30,"Living Trump",43,100,70
"Mage","Craft",31,"Immunity",47,70,80
"Mage","Craft",32,"Mana Branding",50,70,80
"Mage","Daemon",1,"Magic Missile",1,1,20
"Mage","Daemon",2,"Detect Unlife",2,1,22
"Mage","Daemon",3,"Evil Bless",3,2,25
"Mage","Daemon",4,"Resist Fire",4,5,30
"Mage","Daemon",5,"Horrify",7,5,45
"Mage","Daemon",6,"Nether Bolt",10,7,40
"Mage","Daemon",7,"Summon Manes",11,9,35
"Mage","Daemon",8,"Hellish Flame",13,13,40
"Mage","Daemon",9,"Dominate Demon",15,14,45
"Mage","Daemon",10,"Vision",17,15,60
"Mage","Daemon",11,"Resist Nether",20,18,50
"Mage","Daemon",12,"Plasma bolt",23,15,50
"Mage","Daemon",13,"Fire Ball",25,16,50
"Mage","Daemon",14,"Fire Branding",30,75,80
"Mage","Daemon",15,"Nether Ball",32,28,70
"Mage","Daemon",16,"Summon Demon",36,70,85
"Mage","Daemon",17,"Devilish Eye",12,12,45
"Mage","Daemon",18,"Devilish Cloak",15,20,60
"Mage","Daemon",19,"The Flow of Lava",25,22,65
"Mage","Daemon",20,"Plasma Ball",34,30,80
"Mage","Daemon",21,"Polymorph Demon",35,40,80
"Mage","Daemon",22,"Nether Wave",36,35,85
"Mage","Daemon",23,"Kiss of Succubus",37,40,80
"Mage","Daemon",24,"Doom Hand",44,80,80
"Mage","Daemon",25,"Raise the Morale",9,9,50
"Mage","Daemon",26,"Immortal Body",26,25,85
"Mage","Daemon",27,"Insanity Circle",36,35,80
"Mage","Daemon",28,"Explode Pets",41,50,85
"Mage","Daemon",29,"Summon Greater Demon",43,100,90
"Mage","Daemon",30,"Hellfire",45,95,90
"Mage","Daemon",31,"Send to Hell",47,85,80
"Mage","Daemon",32,"Polymorph Demonlord",49,80,85
"Mage","Crusade",1,"Punishment",1,1,20
"Mage","Crusade",2,"Detect Evil",2,1,15
"Mage","Crusade",3,"Remove Fear",4,3,25
"Mage","Crusade",4,"Scare Monster",6,4,30
"Mage","Crusade",5,"Sanctuary",7,5,34
"Mage","Crusade",6,"Portal",9,7,30
"Mage","Crusade",7,"Star Dust",10,10,45
"Mage","Crusade",8,"Purify",15,11,55
"Mage","Crusade",9,"Scatter Evil",17,15,55
"Mage","Crusade",10,"Holy Orb",17,14,50
"Mage","Crusade",11,"Exorcism",21,19,60
"Mage","Crusade",12,"Remove Curse",23,20,70
"Mage","Crusade",13,"Sense Unseen",26,24,50
"Mage","Crusade",14,"Protection from Evil",29,23,60
"Mage","Crusade",15,"Judgment Thunder",34,32,85
"Mage","Crusade",16,"Holy Word",40,35,85
"Mage","Crusade",17,"Unbarring Ways",6,5,33
"Mage","Crusade",18,"Arrest",18,14,50
"Mage","Crusade",19,"Angelic Cloak",21,16,60
"Mage","Crusade",20,"Dispel Undead & Demons",25,20,65
"Mage","Crusade",21,"Dispel Evil",32,27,70
"Mage","Crusade",22,"Holy Blade",34,75,95
"Mage","Crusade",23,"Star Burst",35,45,80
"Mage","Crusade",24,"Summon Angel",44,100,90
"Mage","Crusade",25,"Heroism",9,9,50
"Mage","Crusade",26,"Dispel Curse",30,35,80
"Mage","Crusade",27,"Banish Evil",32,32,75
"Mage","Crusade",28,"Armageddon",36,22,80
"Mage","Crusade",29,"An Eye for an Eye",40,40,80
"Mage","Crusade",30,"Wrath of the God",43,65,90
"Mage","Crusade",31,"Divine Intervention",46,90,90
"Mage","Crusade",32,"Crusade",48,100,85
"Mage","Armageddon",1,"Lightning Bolt",1,3,30
"Mage","Armageddon",2,"Frost Bolt",3,3,30
"Mage","Armageddon",3,"Fire Bolt",5,4,40
"Mage","Armageddon",4,"Acid Bolt",7,5,40
"Mage","Armageddon",5,"Lightning Ball",9,7,40
"Mage","Armageddon",6,"Frost Ball",11,8,45
"Mage","Armageddon",7,"Fire Ball",13,12,45
"Mage","Armageddon",8,"Acid Ball",15,13,50
"Mage","Armageddon",9,"Shard Bolt",17,13,50
"Mage","Armageddon",10,"Gravity Bolt",20,17,60
"Mage","Armageddon",11,"Plasma Bolt",22,19,60
"Mage","Armageddon",12,"Meteor",23,25,60
"Mage","Armageddon",13,"Thunderclap",25,25,60
"Mage","Armageddon",14,"Windblast",30,27,60
"Mage","Armageddon",15,"Hellstorm",32,30,60
"Mage","Armageddon",16,"Rocket",34,40,60
"Mage","Armageddon",17,"Ice Bolt",20,20,60
"Mage","Armageddon",18,"Water Ball",22,25,60
"Mage","Armageddon",19,"Breathe Lightning",25,25,60
"Mage","Armageddon",20,"Breathe Frost",26,26,60
"Mage","Armageddon",21,"Breathe Fire",27,27,70
"Mage","Armageddon",22,"Breathe Acid",30,28,70
"Mage","Armageddon",23,"Breathe Plasma",32,33,70
"Mage","Armageddon",24,"Breathe Gravity",40,35,70
"Mage","Armageddon",25,"Mana Bolt",22,15,50
"Mage","Armageddon",26,"Plasma Ball",25,22,60
"Mage","Armageddon",27,"Mana Ball",35,27,70
"Mage","Armageddon",28,"Breathe Sound",39,30,70
"Mage","Armageddon",29,"Breathe Inertia",42,30,70
"Mage","Armageddon",30,"Breathe Disintegration",43,50,80
"Mage","Armageddon",31,"Breathe Mana",45,50,85
"Mage","Armageddon",32,"Breathe Shards",47,55,85
"Priest","Life",1,"Cure Light Wounds",1,1,10
"Priest","Life",2,"Bless",1,2,15
"Priest","Life",3,"Regeneration",1,2,20
"Priest","Life",4,"Call Light",3,2,25
"Priest","Life",5,"Detect Doors & Traps",3,3,27
"Priest","Life",6,"Cure Medium Wounds",4,4,28
"Priest","Life",7,"Cure Poison",5,4,32
"Priest","Life",8,"Satisfy Hunger",7,5,38
"Priest","Life",9,"Remove Curse",7,6,38
"Priest","Life",10,"Fasting",9,6,38
"Priest","Life",11,"Cure Critical Wounds",9,7,40
"Priest","Life",12,"Resist Heat and Cold",10,8,38
"Priest","Life",13,"Sense Surroundings",10,8,40
"Priest","Life",14,"Turn Undead",11,8,42
"Priest","Life",15,"Healing",20,16,60
"Priest","Life",16,"Glyph of Warding",33,55,90
"Priest","Life",17,"Dispel Curse",15,14,50
"Priest","Life",18,"Perception",16,14,80
"Priest","Life",19,"Dispel Undead",17,14,55
"Priest","Life",20,"Sustaining",24,20,55
"Priest","Life",21,"Cure Mutation",25,20,70
"Priest","Life",22,"Word of Recall",25,25,80
"Priest","Life",23,"Transcendence",39,32,95
"Priest","Life",24,"Warding True",44,44,80
"Priest","Life",25,"Sterilization",5,9,50
"Priest","Life",26,"Detection",15,14,50
"Priest","Life",27,"Annihilate Undead",30,30,80
"Priest","Life",28,"Clairvoyance",35,70,90
"Priest","Life",29,"Restoration",40,50,80
"Priest","Life",30,"Healing True",40,40,80
"Priest","Life",31,"Holy Vision",42,90,85
"Priest","Life",32,"Ultimate Resistance",45,90,85
"Priest","Sorcery",1,"Detect Monsters",2,1,18
"Priest","Sorcery",2,"Phase Door",3,2,19
"Priest","Sorcery",3,"Detect Doors and Traps",4,3,20
"Priest","Sorcery",4,"Light Area",5,4,25
"Priest","Sorcery",5,"Confuse Monster",6,5,25
"Priest","Sorcery",6,"Teleport",7,6,30
"Priest","Sorcery",7,"Sleep Monster",9,7,25
"Priest","Sorcery",8,"Recharging",11,10,70
"Priest","Sorcery",9,"Magic Mapping",13,11,70
"Priest","Sorcery",10,"Mass Identify",14,12,70
"Priest","Sorcery",11,"Slow Monster",15,13,70
"Priest","Sorcery",12,"Mass Stasis",16,14,45
"Priest","Sorcery",13,"Teleport Away",22,15,55
"Priest","Sorcery",14,"Haste Self",27,17,60
"Priest","Sorcery",15,"Detection True",30,22,65
"Priest","Sorcery",16,"Identify True",36,33,70
"Priest","Sorcery",17,"Inventory Protection",7,7,20
"Priest","Sorcery",18,"Stair Creation",14,14,75
"Priest","Sorcery",19,"Sense Minds",18,18,55
"Priest","Sorcery",20,"Teleport to town",20,33,65
"Priest","Sorcery",21,"Self Knowledge",20,20,80
"Priest","Sorcery",22,"Teleport Level",22,22,55
"Priest","Sorcery",23,"Word of Recall",27,27,70
"Priest","Sorcery",24,"Dimension Door",42,45,75
"Priest","Sorcery",25,"Probing",13,13,35
"Priest","Sorcery",26,"Door Creation",21,25,75
"Priest","Sorcery",27,"Telekinesis",24,24,70
"Priest","Sorcery",28,"Clairvoyance",33,40,75
"Priest","Sorcery",29,"Device Mastery",43,85,90
"Priest","Sorcery",30,"Alchemy",45,50,85
"Priest","Sorcery",31,"Banishment",46,45,55
"Priest","Sorcery",32,"Globe of Invulnerability",48,70,80
"Priest","Nature",1,"Detect Creatures",2,1,20
"Priest","Nature",2,"Lightning",5,3,20
"Priest","Nature",3,"Detect Doors and Traps",5,4,20
"Priest","Nature",4,"Produce Food",6,5,30
"Priest","Nature",5,"Daylight",6,5,45
"Priest","Nature",6,"Wind Walker",6,6,45
"Priest","Nature",7,"Resist Environment",7,7,45
"Priest","Nature",8,"Cure Wounds & Poison",7,7,30
"Priest","Nature",9,"Stone to Mud",7,7,35
"Priest","Nature",10,"Frost Bolt",8,7,25
"Priest","Nature",11,"Nature Awareness",9,10,35
"Priest","Nature",12,"Fire Bolt",10,10,35
"Priest","Nature",13,"Ray of Sunlight",11,11,25
"Priest","Nature",14,"Entangle",20,20,60
"Priest","Nature",15,"Nature's Gate",30,30,50
"Priest","Nature",16,"Herbal Healing",42,60,85
"Priest","Nature",17,"Stair Building",11,12,35
"Priest","Nature",18,"Stone Skin",12,13,70
"Priest","Nature",19,"Resistance True",18,20,80
"Priest","Nature",20,"Forest Creation",23,25,75
"Priest","Nature",21,"Stone Tell",39,40,85
"Priest","Nature",22,"Wall of Stone",40,50,80
"Priest","Nature",23,"Protect from Corrosion",42,90,85
"Priest","Nature",24,"Call Sunlight",44,37,85
"Priest","Nature",25,"Earthquake",22,22,55
"Priest","Nature",26,"Fire Storm",25,25,55
"Priest","Nature",27,"Blizzard",27,27,70
"Priest","Nature",28,"Lightning Storm",32,30,70
"Priest","Nature",29,"Whirlpool",37,32,80
"Priest","Nature",30,"Ice Bolt",41,45,75
"Priest","Nature",31,"Gravity Storm",42,45,75
"Priest","Nature",32,"Nature's Wrath",44,80,60
"Priest","Chaos",1,"Magic Missile",2,1,17
"Priest","Chaos",2,"Trap / Door Destruction",3,2,19
"Priest","Chaos",3,"Flash of Light",4,3,21
"Priest","Chaos",4,"Touch of Confusion",5,4,25
"Priest","Chaos",5,"Mana Burst",10,6,25
"Priest","Chaos",6,"Fire Bolt",11,6,45
"Priest","Chaos",7,"Fist of Force",16,11,45
"Priest","Chaos",8,"Teleport Self",17,11,30
"Priest","Chaos",9,"Wonder",19,15,45
"Priest","Chaos",10,"Chaos Bolt",21,16,45
"Priest","Chaos",11,"Sonic Boom",23,18,75
"Priest","Chaos",12,"Doom Bolt",25,18,45
"Priest","Chaos",13,"Fire Ball",27,20,60
"Priest","Chaos",14,"Teleport Other",29,22,55
"Priest","Chaos",15,"Word of Destruction",33,23,75
"Priest","Chaos",16,"Invoke Logrus",37,42,80
"Priest","Chaos",17,"Polymorph Other",14,11,40
"Priest","Chaos",18,"Chain Lightning",17,17,65
"Priest","Chaos",19,"Arcane Binding",20,18,75
"Priest","Chaos",20,"Disintegrate",27,27,65
"Priest","Chaos",21,"Alter Reality",35,30,80
"Priest","Chaos",22,"Magic Rocket",40,45,75
"Priest","Chaos",23,"Chaos Branding",47,90,85
"Priest","Chaos",24,"Summon Demon",49,100,85
"Priest","Chaos",25,"Beam of Gravity",25,25,61
"Priest","Chaos",26,"Meteor Swarm",37,37,80
"Priest","Chaos",27,"Flame Strike",39,37,70
"Priest","Chaos",28,"Call Chaos",41,45,80
"Priest","Chaos",29,"Polymorph Self",45,55,90
"Priest","Chaos",30,"Mana Storm",47,60,90
"Priest","Chaos",31,"Breathe Logrus",49,95,75
"Priest","Chaos",32,"Call the Void",50,100,90
"Priest","Death",1,"Detect Unlife",1,1,20
"Priest","Death",2,"Malediction",1,1,20
"Priest","Death",3,"Detect Evil",2,1,20
"Priest","Death",4,"Stinking Cloud",2,2,20
"Priest","Death",5,"Black Sleep",3,3,20
"Priest","Death",6,"Undead Resistance",5,9,55
"Priest","Death",7,"Horrify",7,7,20
"Priest","Death",8,"Enslave Undead",8,8,20
"Priest","Death",9,"Orb of Entropy",10,10,30
"Priest","Death",10,"Nether Bolt",11,10,20
"Priest","Death",11,"Cloud kill",14,12,40
"Priest","Death",12,"Genocide One",22,20,75
"Priest","Death",13,"Poison Branding",26,65,70
"Priest","Death",14,"Vampiric Drain",30,25,50
"Priest","Death",15,"Animate dead",32,30,70
"Priest","Death",16,"Genocide",35,30,85
"Priest","Death",17,"Berserk",8,15,70
"Priest","Death",18,"Invoke Spirits",8,10,70
"Priest","Death",19,"Dark Bolt",9,9,20
"Priest","Death",20,"Battle Frenzy",25,20,65
"Priest","Death",21,"Vampiric Branding",31,80,60
"Priest","Death",22,"Vampirism True",33,30,50
"Priest","Death",23,"Nether Wave",34,30,60
"Priest","Death",24,"Darkness Storm",36,35,60
"Priest","Death",25,"Death Ray",16,16,65
"Priest","Death",26,"Raise the Dead",22,60,85
"Priest","Death",27,"Esoteria",26,35,85
"Priest","Death",28,"Polymorph Vampire",32,35,75
"Priest","Death",29,"Restore Life",37,40,65
"Priest","Death",30,"Mass Genocide",38,66,70
"Priest","Death",31,"Nether Storm",40,53,70
"Priest","Death",32,"Wraithform",45,75,80
"Priest","Trump",1,"Phase Door",1,1,20
"Priest","Trump",2,"Trump Spiders",4,4,20
"Priest","Trump",3,"Shuffle",6,5,32
"Priest","Trump",4,"Reset Recall",7,7,35
"Priest","Trump",5,"Teleport",9,9,15
"Priest","Trump",6,"Trump Spying",13,14,25
"Priest","Trump",7,"Teleport Away",17,17,25
"Priest","Trump",8,"Trump Animals",29,22,25
"Priest","Trump",9,"Trump Reach",22,22,35
"Priest","Trump",10,"Trump Kamikaze",26,22,30
"Priest","Trump",11,"Phantasmal Servant",28,25,25
"Priest","Trump",12,"Haste Monster",32,30,35
"Priest","Trump",13,"Teleport Level",35,35,30
"Priest","Trump",14,"Dimension Door",38,37,25
"Priest","Trump",15,"Word of Recall",42,40,35
"Priest","Trump",16,"Banish",45,45,30
"Priest","Trump",17,"Swap Position",24,38,65
"Priest","Trump",18,"Trump Undead",27,25,30
"Priest","Trump",19,"Trump Reptiles",29,27,30
"Priest","Trump",20,"Trump Monsters",32,30,30
"Priest","Trump",21,"Trump Hounds",33,30,30
"Priest","Trump",22,"Trump Branding",38,75,35
"Priest","Trump",23,"Living Trump",41,110,40
"Priest","Trump",24,"Trump Cyberdemon",49,125,40
"Priest","Trump",25,"Trump Divination",32,30,25
"Priest","Trump",26,"Trump Lore",38,55,40
"Priest","Trump",27,"Heal Monster",40,60,35
"Priest","Trump",28,"Trump Dragon",43,85,35
"Priest","Trump",29,"Trump Meteor",43,50,65
