Class,Dis,Dev,Sav,Stl,Srh,Fos,Thn,Thb,Dis2,Dev2,Sav2,Thn2,Thb2,Life,BHP,Riding,DualWielding
"Warlock:Giants",55,60,81,0,12,2,220,105,20+7,20+8,31+10,70+30,30+15,112,25,500,4000
"Archaeologist",120,100,86,4,50,32,146,90,45+15,40+12,36+10,56+18,35+11,106,8,500,4000
"Duelist",80,74,73,3,22,16,120,0,30+10,24+10,23+10,50+14,0+0,100,4,0,0
"Wild-Talent",70,80,81,2,24,16,146,140,30+8,25+11,31+10,56+18,50+18,100,4,2000,6000
"Rune-Knight",65,80,86,2,18,16,125,90,30+7,25+11,36+10,50+15,35+11,102,6,2000,7000
"Weaponmaster:Axes",70,58,81,1,14,2,220,80,25+9,23+7,31+10,70+30,25+11,109,12,2000,7000
"Weaponmaster:Bows",70,80,79,4,23,13,113,212,30+8,30+10,29+10,48+13,72+28,109,12,2000,7000
"Weaponmaster:Clubs",70,75,95,1,14,2,165,105,25+9,25+10,35+12,65+20,30+15,109,12,2000,7000
"Weaponmaster:Crossbows",70,75,74,3,18,10,113,212,30+8,30+9,29+9,48+13,72+28,109,12,2000,7000
"Weaponmaster:Daggers",90,82,81,5,30,20,150,166,30+12,32+10,31+10,60+18,66+20,109,12,2000,7000
"Weaponmaster:Polearms",75,63,81,1,14,2,208,80,25+10,23+8,31+10,68+28,25+11,109,12,2000,7000
"Weaponmaster:Shields",75,69,100,1,12,2,173,80,25+10,24+9,40+12,68+21,25+11,109,12,2000,7000
"Weaponmaster:Slings",70,80,79,4,23,13,113,212,30+8,30+10,29+10,48+13,72+28,109,12,2000,7000
"Weaponmaster:Staves",75,70,81,2,14,4,193,80,25+10,25+9,31+10,63+26,25+11,109,12,2000,7000
"Weaponmaster:Swords",80,68,81,1,14,2,215,80,25+11,23+9,31+10,70+29,25+11,109,12,2000,7000
"Weaponmaster:Diggers",70,70,88,3,14,2,190,80,25+9,25+9,33+11,60+26,25+11,109,12,2000,7000
"Blood-Mage",65,115,93,3,16,20,64,55,30+7,40+15,38+11,34+6,20+7,108,10,0,0
"Necromancer",65,115,93,4,16,20,64,55,30+7,40+15,38+11,34+6,20+7,95,2,0,0
"Psion",60,90,100,2,16,8,113,90,25+7,35+11,40+12,48+13,35+11,100,4,500,4000
"Rage-Mage",55,60,115,-1,12,2,125,105,20+7,20+8,40+15,50+15,30+15,106,6,2000,6000
"Scout",105,88,84,6,50,24,150,190,30+15,33+11,34+10,50+20,65+25,104,8,6000,6000
"Mauler",85,70,95,0,14,2,220,55,25+12,25+9,35+12,70+30,20+7,111,18,0,0
"Mystic",120,89,86,5,32,24,154,150,45+15,34+11,36+10,64+18,60+18,100,4,0,0
"Devicemaster:Wands",60,115,86,2,20,16,113,90,25+7,40+15,36+10,48+13,35+11,101,6,0,4000
"Yellow-Mage",65,115,93,3,16,20,64,55,30+7,40+15,38+11,34+6,20+7,95,0,0,0
"Gray-Mage:Good Bias",65,115,93,3,16,20,64,55,30+7,40+15,38+11,34+6,20+7,95,0,0,0
"Skillmaster",0,0,0,0,0,0,0,0,0+0,0+0,0+0,0+0,0+0,100,10,0,0
"Lawyer",120,88,92,3,40,32,130,100,45+15,33+11,42+10,55+15,40+12,102,12,2000,4000
"Ninja-Lawyer",120,84,88,8,42,28,176,90,45+15,29+11,38+10,66+22,35+11,99,8,500,8000
